,Price,Area,Num_Rooms,Num_Halls,Location_Encoded,Floor_Encoded
0,20000,125,3.0,1.0,17895.505617977527,0.0
1,30000,95,2.0,1.0,26196.83908045977,39.0
2,17500,120,3.0,1.0,17511.95219123506,18.0
3,24000,120,3.0,1.0,24028.34008097166,11.0
4,17500,115,3.0,1.0,17669.88416988417,18.0
5,48000,133,3.0,1.0,36896.33375474084,0.0
6,18500,100,3.0,1.0,18485.221674876848,0.0
7,36000,190,4.0,1.0,36000.0,21.0
8,13500,115,3.0,1.0,13661.904761904761,33.0
9,24000,125,3.0,1.0,23984.615384615383,0.0
10,33000,135,3.0,1.0,33000.0,18.0
11,15000,100,3.0,1.0,17895.505617977527,27.0
12,44000,150,3.0,1.0,44000.0,10.0
13,49500,150,3.0,1.0,33058.29596412556,11.0
14,39000,200,4.0,1.0,38472.906403940884,22.0
15,36000,140,4.0,1.0,33058.29596412556,0.0
16,35000,120,3.0,1.0,33058.29596412556,11.0
17,25000,70,2.0,1.0,24990.04975124378,39.0
18,40000,115,2.0,1.0,36896.33375474084,18.0
19,28000,120,3.0,1.0,36896.33375474084,11.0
20,26000,75,2.0,1.0,33058.29596412556,34.0
21,26000,65,1.0,1.0,33058.29596412556,39.0
22,24500,55,1.0,1.0,33058.29596412556,33.0
23,22000,75,2.0,1.0,33058.29596412556,0.0
24,20000,125,3.0,1.0,17895.505617977527,0.0
25,30000,95,2.0,1.0,26196.83908045977,39.0
26,17500,120,3.0,1.0,17511.95219123506,18.0
27,24000,120,3.0,1.0,24028.34008097166,11.0
28,17500,115,3.0,1.0,17669.88416988417,18.0
29,48000,133,3.0,1.0,36896.33375474084,0.0
30,18500,100,3.0,1.0,18485.221674876848,0.0
31,36000,190,4.0,1.0,36000.0,21.0
32,13500,115,3.0,1.0,13661.904761904761,33.0
33,24000,125,3.0,1.0,23984.615384615383,0.0
34,33000,135,3.0,1.0,33000.0,18.0
35,15000,100,3.0,1.0,17895.505617977527,27.0
36,44000,150,3.0,1.0,44000.0,10.0
37,49500,150,3.0,1.0,33058.29596412556,11.0
